Producto,Unidad,Precio Productores,Existencia Inicial,Categoría,Productor,Ubicación,Precio Ciudad Silvestre,Margen
Acelga arcoiris,Manojo,$11.50,40,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Aguacate,Kilo (min 1/2k) ,$69.00,50,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$99.00,0.7
Algafita,Manojo,$11.50,15,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Apio verde,Manojo,$11.50,20,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Berros,Manojo,$11.50,50,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Betabel amarillo (500gr),Manojo,$11.50,50,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Betabel rojo (500 gr),Manojo,$11.50,100,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Chícharo,Kilo (min 1/2k) ,$34.50,40,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$49.00,0.7
Cilantro,Manojo,$11.50,100,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Col verde,Pieza,$13.80,100,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$20.00,0.7
Colinabo,Pieza,$13.80,10,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$20.00,0.7
Crema,1/2 Litro,$86.25,10,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$123.00,0.7
Haba verde,Kilo (min 1/2k) ,$34.50,50,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$49.00,0.7
Kale rizado verde y morado,Manojo,$11.50,100,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Kale toscano,Manojo,$11.50,50,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Lechuga,Pieza,$11.50,50,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Nopales sin espinas,Pieza,$2.30,200,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$3.00,0.7
Ortiga,Manojo,$11.50,20,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Pan de masa madre 700 gr,Pieza,$57.50,12,Panadería,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$82.00,0.7
Pan de pulque,Pieza,$13.80,30,Panadería,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$20.00,0.7
Pay de Requesón,Pieza,$103.50,12,Lácteos,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$148.00,0.7
Pollo Libre Pastoreo ( Aprox. 2K),Pieza,$287.50,10,Proteínas,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$359.00,0.8
Quelites,Manojo,$11.50,20,Verdes,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Queso Asadero (450gr),Pieza,$103.50,50,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$148.00,0.7
Rábano sandía,Manojo,$11.50,10,Verdura,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$16.00,0.7
Requesón,1/2 Litro,$51.75,20,Lácteos,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$74.00,0.7
Setas Rosas,Pieza,$28.75,20,Hongos,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$41.00,0.7
Sopes,Docena,$17.25,20,Tortillería,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$25.00,0.7
Tortillas,Docena,$17.25,20,Tortillería,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$25.00,0.7
Yogurt,1 Litro,$40.25,30,Lácteos,EL RENACER DEL CAMPO ( @elrenacerdelcampo),"San Bartolo , Amanalco de Becerra, Edo Mex",$58.00,0.7
Ajo morado (Cabeza),Pieza,$7.50,50,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$11.00,0.7
Arroz integral,Kilo (min 1/2k) ,$35.00,20,Granos y Semillas,AGROELITE (FB: @AgroeliteMexico),Morelos,$50.00,0.7
Arúgula,Manojo,$8.00,50,Verdes,AGROELITE (FB: @AgroeliteMexico),Morelos,$11.00,0.7
BlueBerry,Domo 200gr,$63.04,40,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$90.00,0.7
Brocoli,Pieza,$13.00,40,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$19.00,0.7
Calabacita Italiana,Kilo (min 1/2k) ,$25.00,40,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$36.00,0.7
Calabaza Mantequilla,Pieza,$70.00,40,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$100.00,0.7
Cebolla Blanca,Kilo (min 1/2k) ,$18.00,30,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$26.00,0.7
Chalote (80gr),Pieza,$9.00,50,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$13.00,0.7
Champignon Cremini,Domo 500gr,$37.77,30,Hongos,AGROELITE (FB: @AgroeliteMexico),Morelos,$54.00,0.7
Ciruela Roja,Domo 500gr,$23.71,30,Fruta,AGROELITE (FB: @AgroeliteMexico),Morelos,$34.00,0.7
Espárrago (500 gr),Manojo,$75.00,20,Verdura,AGROELITE (FB: @AgroeliteMexico),Morelos,$107.00,0.7
